,id,title_fa,title_en,image_url,brand,category,price,shipment_methods,cpu,ram,gpu,storage,resolution,weight,size,screen_size,included_items,last_comment
42,12529210,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKR3 M2 2023,Apple MacBook Air MQKR3 M2 2023 15.3 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/63d867501348bd6df14d9cbfe90b0cb8aeb78be5_1697263406.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",اپل,"[LT,لپ تاپ و الترابوک]",719900000,موجود در انبار فروشنده و دیجی‌کالا,M2,هشت گیگابایت,Apple,256 گیگابایت,2880x1864,1.51  کیلوگرم,340.4x237.6x11.5 میلی‌‌متر ,"میزان روشنایی صفحه نمایش: 500 نیت / 
توانایی نمایش 1 میلیارد رنگ، پشتیبانی از Wide color (P3) و تکنولوژی True Tone ",شارژر / دارای کابل USB-C به MagSafe 3 ,همه چیز عالی بود و نیازی نیست تعریف کنم ولی چنین سفارش حساسی کارتن بشدت ضربه دیده بود و پاره شده بود و بسته بندی بنظر میرسید از قبل پلمپ اون باز شده و این ناراحت کننده بود ولی در کل راضی بودم خداروشکر ضربه ای وارد نشده بود .
43,8098822,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,Lenovo V15 G2 ITL-i5 16GB 1HDD 256SSD MX350 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/a44bf0b1b8e3084b4bdb63c0e68fbb3dfe1a2ba1_1669796164.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",282000000,موجود در انبار فروشنده,Core i5,16 گیگابایت,NVIDIA,یک ترابایت و 256 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,19.9×235×359 ,1080 × 1920 پیکسل - Full HD ,دفترچه راهنما / شارژر ,عالی
44,12363714,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKP3 M2 2023,Apple MacBook Air MQKP3 M2 2023 15.3 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/47286adf640c82e9b4010ca2dfde20c90c7270ab_1691850443.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",اپل,"[LT,لپ تاپ و الترابوک]",759900000,موجود در انبار فروشنده و دیجی‌کالا,M2,هشت گیگابایت,Apple,256 گیگابایت,2880x1864,1.51  کیلوگرم,340.4x237.6x11.5 میلی‌‌متر ,"میزان روشنایی صفحه نمایش: 500 نیت / 
توانایی نمایش 1 میلیارد رنگ، پشتیبانی از Wide color (P3) و تکنولوژی True Tone ","شارژر

 ",کارتن دستگاه ترکیده بود، پلمپ دستگاه باز شده بود و دستگاه استفاده شده بود، لپ تاپ رو مرجوع کردم و الان که ۱۱ روز گذشته هنوز پولش دست من رو نگرفته و با اینکه با شرط تعویض مرجوع کرده بودم لپ تاپ جدیدی نفرستادن!!! و بخاطر افزایش قیمت ۶۱۷۰ بالاتر خریدم دوباره !!!!!
45,10065246,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i7 8GB 512SSD Iris Xe,Lenovo IdeaPad 3 15IAU7-i7 8GB 512SSD Iris Xe 15.6 inch laptop,"https://dkstatics-public.digikala.com/digikala-products/8270072216766162b9c8bc5651607949ad8fcec1_1670237073.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",267000000,موجود در انبار فروشنده,Core i7,هشت گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.63 کیلوگرم,359.2x236.5x19.9 میلی‌متر ,بدون حافظه‌ی گرافیکی مجزا ," آداپتور (شارژر) به همراه کابل برق و دفترچه راهنما
 ",خوب بود خیلی راضی بودم
46,12528051,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 8GB 512SSD - کاستوم شده,Lenovo IdeaPad Slim 3 15IRU8-i3 8GB 512SSD 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/41d43012149f70c0f9bc1f3d9619b6746cc29674_1693306549.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",188900000,موجود در انبار دیجی‌کالا,Core i3,هشت گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.62 کیلوگرم,359x235x18 میلی‌متر ,15.6 اینچ ,"آداپتور برق / 
دفترچه راهنما ",با شک خریدم ولی الان از خریدش راضیم
47,12645204,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 1 15IGL7-Celeron N4020 4GB 1SSD  - کاستوم شده,Lenovo IdeaPad 1 15IGL7-Celeron N4020 4GB 1SSD 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/11c9c6a1accccf415c4a291b7e0f5405d9543d62_1694430563.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",133000000,موجود در انبار فروشنده و دیجی‌کالا,Celeron,چهار گیگابایت,Intel,یک ترابایت,HD|1366x768,1.5 کیلوگرم,325x216x19.9 میلی‌متر ,15.6 اینچ ,"دفترچه راهنما / 
شارژر / 
کابل شارژر
 ",نسبت به قیمتش خوبه
48,10849913,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,Lenovo IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/715f296078173ce0472d669d184c8701ba3b3ba7_1678191482.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",265990000,موجود در انبار دیجی‌کالا,Core i5,16 گیگابایت,NVIDIA,یک ترابایت و 256 گیگابایت,1080 × 1920 پیکسل - Full HD,1.65 کیلوگرم,359.2×236.5×19.9 میلی‌متر ,دو گیگابایت ,دفترچه راهنما / شارژر ,همون موقع نصب ویندوز متوجه سرعت خوب لپ تاپ شدم فقط متاسفانه رنگ سرمه ای فرستادن در حالی که من خاکستری سفارش داده بودم
49,12117417,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-A 8GB 1SSD Radeon - کاستوم شده,Lenovo V15 G4 AMN-A 8GB 1SSD Radeon 15.6 Inch Laptop - Customized ,"https://dkstatics-public.digikala.com/digikala-products/f9d556a68cc4a507cc80981935cf68ae2e3d7711_1690030381.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",151000000,موجود در انبار فروشنده و دیجی‌کالا,ATHLON,هشت گیگابایت,AMD,یک ترابایت,1080 × 1920 پیکسل - Full HD,1.6 کیلوگرم,AMD ,TN ,دفترچه راهنما / شارژر / ماوس / برچسب فارسی کیبورد / آنتی ویروس / ماوس پد ,فوق‌العاده حتما بخرید...
50,8981269,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook K513EQ-BQ295,Asus VivoBook K513EQ-BQ295 15.6 inch laptop ,"https://dkstatics-public.digikala.com/digikala-products/aa401250e6b8c221dbd2e433172de80bee63449c_1671298436.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",ایسوس,"[LT,لپ تاپ و الترابوک]",350000000,موجود در انبار فروشنده,Core i5,16 گیگابایت,NVIDIA,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.8 کیلوگرم,359x235x17.9 میلی‌متر ,دو گیگابایت ,"دفترچه راهنما, شارژر ",فوق العاده 
51,12406615,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 12GB 512SSD - کاستوم شده,Lenovo V15 G3 IAP-i3 12GB 512SSD 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/8ac843deb7afc386abd930dfea421c00e6e8b3f8_1692201287.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",185000000,موجود در انبار فروشنده و دیجی‌کالا,Core i3,12 گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,359x236x19.9 میلی‌متر ,بدون حافظه‌ی گرافیکی مجزا ,شارژر / دفترچه راهنما ,"باسلام
قبل از خرید تحقیقات کامل انجام دادم
با اطلاع از اینکه این سری از ارزان ترین لپ تاپ های لنوو هست
انتظار بدنه بی کیفیت داشتم
که دقیقا همین طور بود..اما این مشخصات 
سی پی یو نسل ١٢ 
SSD از نوع nvme پرسرعت و ١٢ گیگ رم 
با قیمت خرید در اون زمان (١۶.٢) بسیار به صرفه هست
در کل اگر دنبال مشخصات به روز هستید اما بقیه مشخصه های لپ تاپ اهمیتی ندارد، گزینه ی بسیار مناسب هست..."
